"page_id","product_url","name","image_url","description","category","in_stock","price"
"GARDINER5","http://www.yarn.com/products/the-mason-dixon-knitting-coloring-book-for-knitters","The Mason-Dixon Knitting Coloring Book for Knitters","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMjcvMDAvMTgvNTgvNDgxL0dBUkRJTkVSNS56b29tLjEuanBnIl1d/GARDINER5.zoom.1.jpg?sha=8c289fa7ff2aa8cb"," 	Finally, a coloring book for knitters! These 30 drawings capture all the gorgeous patterns, textures, and humor of the knitting world. Coloring and knitting are a natural fit. Knitting is the perfect package of color, pattern and texture. Coloring knitting patterns can soothe jangled nerves, and it can also inspire your knitting. You can experiment with color combinations for Fair Isle, stripes or log cabin—without all that pesky swatching. Coloring gives you the freedom to play with all the colors, without worrying if they will go with your wardrobe. Illustrator Juliana Horner brings her background in fashion design and textiles to these intricate drawings, as well as her sense of humor. There is much fun to discover amid all the details. Knitters are posting their finished drawings on Facebook, Pinterest, Instagram, and Twitter with the hashtag #MDKcoloring. Softcover, 64 pages; Chenille Press  ","Knitting > Knitting Books","true","12.99"
"GIPSON1","http://www.yarn.com/products/slots-holes-three-ways-to-warp-a-rigid-heddle-loom-dvd-liz-gipson","Slots & Holes: Three Ways To Warp A Rigid Heddle Loom Dvd - Liz Gipson","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDkvMDcvMTAvNTkvMjkvODEwL2ltYWdldW5hdmFpbGFibGUuanBnIl1d?sha=90be564ece9f19e1","","Weaving > Weaving Books","true","19.95"
"GIPSON2","http://www.yarn.com/products/life-after-warping-dvd","Life After Warping DVD","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDQvMjEvMzkzL0dJUFNPTjIuem9vbS4xLmpwZyJdXQ/GIPSON2.zoom.1.jpg?sha=af98d682d594809b"," 	Weaving Well on Your Rigid-Heddle Loom 	 	Learn weaving techniques for the rigid-heddle loom with expert Liz Gipson in Life After Warping, a weaving workshop DVD for weaving cloth fast and without fuss.   	The rigid-heddle loom is simple to warp, portable, and ideal for making cloth fast! With her ""Weave more and fuss less"" philosophy, Liz Gipson will show you the fun you can have making cloth for everything from scarves and towels to blankets, and even garments. In this video, Liz will show you:   	How to choose the right shuttles and other weaving tools 	How to set up for comfortable weaving 	Weaving techniques for tidy selvedges and neat color transitions 	Easy ways to handle broken warp threads or tension problems 	Finishing techniques, from hemstitching to fringe 	How to wet-finish your fabric   	 	This video also includes a lovely blanket project to get you started using all your new weaving skills. With Liz's expert instruction and calm enthusiasm, you and your loom will soon be turning out beautiful cloth for every purpose you can imagine.  ","Weaving > Weaving Books","false",""
"GNAGY","http://www.yarn.com/products/knitting-off-the-axis","Knitting off the Axis","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDQvNTgvNjc0L0dOQUdZLnpvb20uMS5qcGciXV0/GNAGY.zoom.1.jpg?sha=610d7ef6016481ab"," 	Projects + Techniques for Sideways Knitting   	Explore a new angle on knitting. Emerging designer Mathew Gnagy has created a fresh collection of 15 sweaters for men and women that explore the possibilities of knitting off the axis in new angles other than traditional top-down or bottom-up constructions. Knitting Off the Axis. Each of the patterns are designed in a one-of-a-kind way, focusing on knitting sideways or in an untraditional direction. Knitting at different angles gives these knit projects unique shaping, visual interest, and fashion-forward silhouettes. You'll love the new techniques and challenge of knitting sideways.   	Most sideways knits tend to be simplified, less dynamic versions of more traditionally constructed patterns, but Mathew has brought you uniquely textured stitch patterns. The result is knitting projects that are classic, stylish, and lively. The book is divided into three easy-to-follow sideways knitting categories: Truly Sideways, Mostly Sideways, and Every-Which-Way with additional instruction on short rows, internal shaping, and more.   	Knitting Off the Axis offers everything you need to incorporated clever knit combinations and maximize your design possibilities with sideways knitting. Softcover; 159 pages; Interweave Press.  ","Knitting > Knitting Books","false",""
"GOBLE","http://www.yarn.com/products/knitted-animal-hats","Knitted Animal Hats","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDUvMDEvMTI3L0dPQkxFLnpvb20uMS5qcGciXV0/GOBLE.zoom.1.jpg?sha=78a84dca821e44ec"," 	35 Wild and Wonderful Hats and More for Babies, Kids and the Young at Heart 	By combining simple knitting techniques with soft and colourful yarns, Fiona Goble has created a fantastic collection of 35 animal hats, ranging from cute and cuddly to wild and woolly. Choose from hats for tiny babies such as Buzzy Bee, Tweet the Robin or Rudy the Rabbit, or make something to keep bigger kids cosy, from Blizzard the Reindeer (complete with bright red nose) to Otto the Octopus. Most of the hats can be made in a range of sizes and many of them come with matching accessories, such as boot toppers, wrist warmers and baby bootees. Each hat has easy-to-follow instructions and uses the simplest of stitches, with clear step-by-step illustrations and photographs to help with the all-important features, making this ideal for beginner knitters as well as more experienced ones. With essential yarn information as well as a helpful techniques section, you'll be ready to start knitting gorgeous Knitted Animal Hats in no time.  ","Knitting > Knitting Books","true","21.95"
"4967","http://www.yarn.com/products/casual-elegant-knits","Casual, Elegant Knits","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTcvMTQvNTgvMTUwLzQ5Njcuem9vbS4xLmpwZyJdXQ/4967.zoom.1.jpg?sha=99ba68e6f274d06c","Stitch yourself some classic chic, choosing from two wardrobe ensembles plus a collection of must-have accessories. These timeless projects will be in style years after you've knit the last row. ","Knitting > Knitting Books","false",""
"GARLAND4","http://www.yarn.com/products/knit-the-alphabet","Knit the Alphabet","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDIvMDkvNDk1L0dBUkxBTkQ0Lnpvb20uMS5qcGciXV0/GARLAND4.zoom.1.jpg?sha=84ab7edb9a3e10bf"," 	Knit the Alphabet is the only book on the market to focus on 3D knitted letters. The book features 26 unique knitting patterns with three size variations and 3 bonus patterns - ampersand, star and heart. The knitting patterns are quick and easy to make and are made as one piece so there's no need to sew a seam! Every letter can be made in 3 sizes: approximately 3.5, 6.5 or 11 inches high, by just simply changing your needle and yarn size! Completed letters can be used individually or combined to make words or phrases - with the end result being great to use to decorate your home, or as accessories, jewelry and gift wrapping. Includes full basic knitting techniques, perfect for beginners and more experienced knitters alike! Softcover, 128 pages; F&amp;W Publications  ","Knitting > Knitting Books","false",""
"GOBLE1","http://www.yarn.com/products/cute-and-easy-knitting","Cute and Easy Knitting","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDUvMDIvOTQ4L0dPQkxFMS56b29tLjEuanBnIl1d/GOBLE1.zoom.1.jpg?sha=101da11114003d64"," 	Cute &amp; Easy Knitting offers 35 gorgeous knitting projects that you'll love to make for the home, as gifts and for yourself. Learn how to knit by working through these 35 adorable projects by experienced knitter and author, Fiona Goble. Even beginners will be able to pick up a pair of needles and start making simple knitted items. Starting with the Knitting Know-How chapter, you'll learn every stitch you'll need, all illustrated with helpful artwork. Then move onto the projects, which are grouped by skill level - beginner, improver and enthusiast. In the first chapter, find out how to make a cute cosy for your phone, a pretty heart garland to decorate your room, and a striped cushion cover. Moving on to the next level, there are sweet woodland-themed key rings and simple tablemats, as well as larger projects - such as a hot water bottle cover or draught excluder. Finally, try the patterns that are aimed at more experienced knitters - from a delicate tea light shade or book cover, to a backpack or throw. With easy-to-follow instructions and helpful hints and tips throughout, you're bound to want to knit all of these projects, both for yourself and as gifts for friends. Softcover, 128 pages; Ryland Peters &amp; Small  ","Knitting > Knitting Books","true","21.95"
"GOBLE2","http://www.yarn.com/products/knitted-animal-scarves-mitts-and-socks-fiona-goble","Knitted Animal Scarves, Mitts, And Socks - Fiona Goble","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDkvMDcvMTAvNTkvMjkvODEwL2ltYWdldW5hdmFpbGFibGUuanBnIl1d?sha=90be564ece9f19e1","","Knitting > Knitting Books","true","19.95"
"GOBLE4","http://www.yarn.com/products/learn-to-knit-3","Learn to Knit","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMjcvMDAvMTkvMjAvMzQxL0dPQkxFNC56b29tLjEuanBnIl1d/GOBLE4.zoom.1.jpg?sha=49a1d9baba6bf4a0"," 	Learn to knit with these simple but stylish patterns for hats, scarves, and home accessories in Learn to Knit. Fiona Goble learned to knit as a child, but she knows what it's like to be starting out—you have the yarn, you've bought the needles, but when you look at a knitting pattern, it all seems like gobbledygook. Learn to Knit will help you learn the basic stitches and how to read a pattern, as well as some simple techniques such as casting on and binding off, and increasing and decreasing. But once you've tried those, you'll want to actually make something. To make that simple, Fiona Goble has gathered together 25 great projects for you to try, all using only the stitches and techniques that you have just learned about. There are chunky scarves and cowls that knit up really quickly using big needles, beanies and bobble hats that can be made in a weekend, and bunting and a pillow cover that even a novice can knit in no time. So put those new skills to use and create a whole range of fantastic things to wear or for the home—once you start knitting, you won't want to stop. Softcover, 96 pages; CICO Books  ","Knitting > Knitting Books","true","14.95"
"GOBERSTEIN1","http://www.yarn.com/products/the-art-of-slip-stitch-knitting","The Art of Slip Stitch Knitting","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDQvNTkvMTc5L0dPQkVSU1RFSU4xLnpvb20uMS5qcGciXV0/GOBERSTEIN1.zoom.1.jpg?sha=0cd0fca87e12f709"," 	A Fresh Look at a Classic Technique   	Slip stitch is one of the simplest and most versatile knitting techniques, but it's often overlooked. The Art of Slip-Stitch Knitting is a modern and thorough take on this technique that delivers beautiful colorwork and gorgeous textures--with minimal effort.   	A complete overview covers all the basics of slip-stitch knitting, including stitch formation, reading charts, customizing stitch patterns, choosing yarns, designing with slip-stitch patterns, and more. Forty stitch patterns, many of which are reversible, stretch the boundaries of slip stitch, creating colorwork that is just as graphic as Fair Isle, but much simpler; woven-looking fabrics; and fabulous textures that are sometimes combined with lace and cables. Sixteen original projects for cardigans, pullovers, hats, bags, scarves, and more showcase the versatility of slip stitch by using it as an allover pattern or accent.   	Whether you're new to this exciting stitch or looking to go beyond the basics, The Art of Slip-Stitch Knitting is your essential guide. Softcover, 176 pages; Interweave Press  ","Knitting > Knitting Books","true","26.99"
"GOHR","http://www.yarn.com/products/granny-squares","Granny Squares","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDUvMDUvODE1L0dPSFIuem9vbS4xLmpwZyJdXQ/GOHR.zoom.1.jpg?sha=7b79d46c110e6403"," 	Over 25 Creative Ways to Crochet the Classic Pattern   	Square, iconic, and creative, granny squares can be beautiful designs in themselves, but this book goes further with instructions on joining them together to create more than 20 modern projects. Affectionately called “grannies” by their fans, these crocheted squares can be quickly made with endless color variants and combinations of yarns and stitches. Ideas for big and small granny square showpieces are provided with precise instructions for all basic techniques and patterns. The individual squares can be easily joined together and thorough instructions are provided for making wonderfully colorful bags, gifts, beautiful home accessories, or snuggly throws. With the help of this project book, each square is a little work of art that can stand alone or be multiplied and joined together to form useful and beautiful creations. Hardcover; 80 pages; Trafalgar Square Books.  ","Crochet > Crochet Books","false",""
"4429","http://www.yarn.com/products/indigo-knits","Indigo Knits","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvNTMvNDgvNjM0LzQ0MjkuMC56b29tLjEuanBnIl1d/4429.0.zoom.1.jpg?sha=5dc8ab386cea6e33","The true beauty of denim yarn comes to life in this practical and inspirational guide to creating, washing, and wearing indigo-dyed knitwear. In Indigo Knits, Jane Gottelier reveals her trade secrets for working with indigo dyed yarns and shares the knitwear patterns and techniques that have made the Artwork label famous. Indigo Knits features fashion sketches alongside 35 knitwear patterns, plus a complete section on washing, fading, distressing, and producing unique finishes on knits made with indigo yarn. A thoroughly inspirational book, it is at once practical, artistic, and original. ","Knitting > Knitting Books","false",""
"2920","http://www.yarn.com/products/childrens-sweaters-and-hats-knitting-seamless-raglan-top-down","Children's Sweaters and Hats: Knitting Seamless Raglan Top Down","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvMDUvNTUvNTk2LzI5MjAuMC56b29tLjEuanBnIl1d/2920.0.zoom.1.jpg?sha=b0af36e533e76fa8","This top-down technique has its appeal; very little sewing, the widest part of the garment is the last knitted and natural yoke patterning. Also, for little people, knitting top down really speeds up the process. Many of the sweater designs have a little top-down hat to go with it. So sit down with the author and investigate this technique and craft a little heirloom. ","Knitting > Knitting Books","false",""
"GOTTELIER1","http://www.yarn.com/products/knitting-and-tea","Knitting and Tea","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDUvMzAvOTcxL0dPVFRFTElFUjEuem9vbS4xLmpwZyJdXQ/GOTTELIER1.zoom.1.jpg?sha=7ec4d1e85fd5d84a","25 Classic Knits and the Teas that Inspired ThemJane and Patrick Gottelier take you on a journey from the formal tearooms in Cornwall to the lush tea plantations of Sir Lanka to explore the intertwining history of these two customs. The 25 patterns will inspire you to knit a wide array of items from a tea-centric swirl tablecloth to a vintage tea dress to a Cricket Sweater and tea cozy. Tea time recipes are included.  hardcover, 144 pages ","Knitting > Knitting Books","false",""
"GIBSONROBERTS","http://www.yarn.com/products/priscillas-summer-happy-tabi-socks","Priscilla's Summer-Happy Tabi Socks","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMjAvMDMvMTcvNzA0L0dJQlNPTlJPQkVSVFMuem9vbS4xLmpwZyJdXQ/GIBSONROBERTS.zoom.1.jpg?sha=bd5e9d158eb46045"," 	2 unique designs, limitless enjoyment, special techniques. Softcover, 20 pages  ","Knitting > Knitting Books","false",""
"3616","http://www.yarn.com/products/sweaters-for-everyone-kids-to-adults","Sweaters for Everyone: Kids to Adults","https://yarn-cdn-weblinc.netdna-ssl.com/media/W1siZiIsIjIwMTYvMDgvMTgvMTYvMjIvMTMvNDEyLzM2MTYuem9vbS4xLmpwZyJdXQ/3616.zoom.1.jpg?sha=ab03fe8feaf2b235","Seemless top down patterns for saddle shoulders, cardigans, pullovers, and raglans. ","Knitting > Knitting Books","false",""
